"DeviceName","DeviceDescription","ConnectionStatus","DeviceID","Timestamp"
"Waves Audio Effects Component","Waves APO","OK","SWD\DRIVERENUM\{06A0D260-A5DC-451B-8C88-AA3DDEE9394A}#WAVESAPO&5&1244B4B0&0","2023-08-09 07:00:34"
"Airdopes 138","Bluetooth Device","OK","BTHENUM\DEV_C469608EF57B\7&38D62565&0&BLUETOOTHDEVICE_C469608EF57B","2023-08-09 07:00:34"
"Intel(R) SMBus - A323","Intel(R) SMBus - A323","OK","PCI\VEN_8086&DEV_A323&SUBSYS_13311025&REV_10\3&11583659&0&FC","2023-08-09 07:00:34"
"Motherboard resources","Motherboard resources","OK","ACPI\PNP0C02\PCHRESV","2023-08-09 07:00:34"
"Intel(R) PCIe Controller (x16) - 1901","Intel(R) PCIe Controller (x16) - 1901","OK","PCI\VEN_8086&DEV_1901&SUBSYS_13311025&REV_0D\3&11583659&0&08","2023-08-09 07:00:34"
"USB Composite Device","USB Composite Device","OK","USB\VID_046D&PID_C534\5&115A75A8&0&3","2023-08-09 07:00:34"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","OK","HID\VID_046D&PID_C534&MI_01&COL04\7&1C200D2C&0&0003","2023-08-09 07:00:34"
"Acer Airplane Mode Controller","Acer Airplane Mode Controller","OK","ACPI\10251229\0","2023-08-09 07:00:34"
"Headset Audio Gateway Service","Headset Audio Gateway Service","OK","BTHENUM\{00001112-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"Microsoft Bluetooth Enumerator","Microsoft Bluetooth Enumerator","OK","BTH\MS_BTHBRB\6&102EBEE3&0&1","2023-08-09 07:00:34"
"UMBus Root Bus Enumerator","UMBus Root Bus Enumerator","OK","ROOT\UMBUS\0000","2023-08-09 07:00:34"
"Charge Arbitration Driver","Charge Arbitration Driver","OK","ROOT\CAD\0000","2023-08-09 07:00:34"
"Volume","Volume","OK","STORAGE\VOLUME\{A8A4BF4C-50EF-11ED-A079-806E6F6E6963}#000000AB97C00000","2023-08-09 07:00:34"
"System CMOS/real time clock","System CMOS/real time clock","OK","ACPI\PNP0B00\4&36F1FB5D&0","2023-08-09 07:00:34"
"Microsoft Windows Management Interface for ACPI","Microsoft Windows Management Interface for ACPI","OK","ACPI\PNP0C14\SAMPLEDEV","2023-08-09 07:00:34"
"USB Input Device","USB Input Device","OK","USB\VID_046D&PID_C534&MI_01\6&C62B88B&0&0001","2023-08-09 07:00:34"
"Standard Serial over Bluetooth link (COM5)","Standard Serial over Bluetooth link","OK","BTHENUM\{00001101-0000-1000-8000-00805F9B34FB}_VID&00010075_PID&A013\7&19616998&0&388F30B6FBEC_C00000000","2023-08-09 07:00:34"
"SPPSERVICE4","SPPSERVICE4","OK","BTHENUM\{F8620674-A1ED-41AB-A8B9-DE9AD655729D}_VID&00010075_PID&A013\7&38D62565&0&388F30B6FBEC_C00000000","2023-08-09 07:00:34"
"Microsoft Radio Device Enumeration Bus","Generic software device","OK","SWD\RADIO\{3DB5895D-CC28-44B3-AD3D-6F01A782B8D2}","2023-08-09 07:00:34"
"Device Identification Service","Device Identification Service","OK","BTHENUM\{00001200-0000-1000-8000-00805F9B34FB}_VID&00010075_PID&A013\7&38D62565&0&388F30B6FBEC_C00000000","2023-08-09 07:00:34"
"Microsoft Device Association Root Enumerator","Generic software device","OK","SWD\MSDAS\{CE958E9A-424F-4C88-86F4-11314821E75A}","2023-08-09 07:00:34"
"Intel(R) Serial IO UART Host Controller - A328","Intel(R) Serial IO UART Host Controller - A328","OK","PCI\VEN_8086&DEV_A328&SUBSYS_13311025&REV_10\3&11583659&0&F0","2023-08-09 07:00:34"
"USB Input Device","USB Input Device","OK","USB\VID_046D&PID_C534&MI_00\6&C62B88B&0&0000","2023-08-09 07:00:34"
"ACPI x64-based PC","ACPI x64-based PC","OK","ROOT\ACPI_HAL\0000","2023-08-09 07:00:34"
"Microsoft Windows Management Interface for ACPI","Microsoft Windows Management Interface for ACPI","OK","ACPI\PNP0C14\APGE","2023-08-09 07:00:34"
"Programmable interrupt controller","Programmable interrupt controller","OK","ACPI\PNP0000\4&36F1FB5D&0","2023-08-09 07:00:34"
"WAN Miniport (Network Monitor)","WAN Miniport (Network Monitor)","OK","SWD\MSRRAS\MS_NDISWANBH","2023-08-09 07:00:34"
"WAN Miniport (IP)","WAN Miniport (IP)","OK","SWD\MSRRAS\MS_NDISWANIP","2023-08-09 07:00:34"
"Microsoft Windows Management Interface for ACPI","Microsoft Windows Management Interface for ACPI","OK","ACPI\PNP0C14\TESTDEV","2023-08-09 07:00:34"
"PCI Express Root Complex","PCI Express Root Complex","OK","ACPI\PNP0A08\0","2023-08-09 07:00:34"
"Airdopes 138","Microsoft Bluetooth A2dp Source","OK","BTHENUM\{0000110B-0000-1000-8000-00805F9B34FB}_LOCALMFG&0002\7&38D62565&0&C469608EF57B_C00000000","2023-08-09 07:00:34"
"Standard Serial over Bluetooth link (COM4)","Standard Serial over Bluetooth link","OK","BTHENUM\{00001101-0000-1000-8000-00805F9B34FB}_LOCALMFG&0000\7&19616998&0&000000000000_00000000","2023-08-09 07:00:34"
"Bluetooth Device (RFCOMM Protocol TDI)","Bluetooth Device (RFCOMM Protocol TDI)","OK","BTH\MS_RFCOMM\6&102EBEE3&0&0","2023-08-09 07:00:34"
"UUID128","UUID128","OK","BTHENUM\{B4A9D6A0-B2E3-4E40-976D-A69F167EA895}_VID&00010075_PID&A013\7&38D62565&0&388F30B6FBEC_C00000000","2023-08-09 07:00:34"
"Microsoft Input Configuration Device","Microsoft Input Configuration Device","OK","HID\SYNA7DB5&COL03\5&22D87139&0&0002","2023-08-09 07:00:34"
"Bluetooth Device (Personal Area Network)","Bluetooth Device (Personal Area Network)","OK","BTH\MS_BTHPAN\6&102EBEE3&0&2","2023-08-09 07:00:34"
"HID-compliant wireless radio controls","HID-compliant wireless radio controls","OK","HID\10251229\3&9D5D338&0&0000","2023-08-09 07:00:34"
"HD User Facing","USB Video Device","OK","USB\VID_04F2&PID_B64F&MI_00\6&147B4C&0&0000","2023-08-09 07:00:34"
"HID Keyboard Device","HID Keyboard Device","OK","HID\VID_046D&PID_C534&MI_00\7&8EFF0EE&0&0000","2023-08-09 07:00:34"
"Microsoft Hyper-V PCI Server","Microsoft Hyper-V PCI Server","OK","ROOT\VPCIVSP\0000","2023-08-09 07:00:34"
"Motherboard resources","Motherboard resources","OK","ACPI\INT3F0D\4&36F1FB5D&0","2023-08-09 07:00:34"
"WDC WDS240G2G0B-00EPW0","Disk drive","OK","SCSI\DISK&VEN_WDC&PROD_WDS240G2G0B-00EP\4&8322C0F&0&000100","2023-08-09 07:00:34"
"ACPI Power Button","ACPI Power Button","OK","ACPI\PNP0C0C\2&DABA3FF&0","2023-08-09 07:00:34"
"Microsoft ACPI-Compliant System","Microsoft ACPI-Compliant System","OK","ACPI_HAL\PNP0C08\0","2023-08-09 07:00:34"
,,"OK","HTREE\ROOT\0","2023-08-09 07:00:34"
"Microsoft Basic Render Driver","Microsoft Basic Render Driver","OK","ROOT\BASICRENDER\0000","2023-08-09 07:00:34"
"Intel(R) PCI Express Root Port #14 - A335","Intel(R) PCI Express Root Port #14 - A335","OK","PCI\VEN_8086&DEV_A335&SUBSYS_13311025&REV_F0\3&11583659&0&E8","2023-08-09 07:00:34"
"Intel Optane+931GBHDD","Disk drive","OK","SCSI\DISK&VEN_INTEL&PROD_OPTANE+931GBHDD\4&8322C0F&0&070000","2023-08-09 07:00:34"
"AMA SPP Server","AMA SPP Server","OK","BTHENUM\{931C7E8A-540F-4686-B798-E8DF0A2AD9F7}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"WAN Miniport (SSTP)","WAN Miniport (SSTP)","OK","SWD\MSRRAS\MS_SSTPMINIPORT","2023-08-09 07:00:34"
"Volume","Volume","OK","STORAGE\VOLUME\{A8A4BF4B-50EF-11ED-A079-806E6F6E6963}#00000021AD000000","2023-08-09 07:00:34"
"Volume","Volume","OK","STORAGE\VOLUME\{A8A4BF4C-50EF-11ED-A079-806E6F6E6963}#0000008BDAC00000","2023-08-09 07:00:34"
"Microsoft UEFI-Compliant System","Microsoft UEFI-Compliant System","OK","ACPI_HAL\UEFI\0","2023-08-09 07:00:34"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","OK","HID\VID_046D&PID_C534&MI_01&COL05\7&1C200D2C&0&0004","2023-08-09 07:00:34"
"Motherboard resources","Motherboard resources","OK","ACPI\PNP0C02\SARESV","2023-08-09 07:00:34"
