"DisplayName","Publisher","DisplayVersion","InstallDate","UninstallString"
"Microsoft .NET Host - 5.0.17 (x64)","Microsoft Corporation","40.68.31213","20220513","MsiExec.exe /X{E663ED1E-899C-40E8-91D0-8D37B95E3C69}"
"Microsoft.NET.Sdk.Maui.Manifest-6.0.300","Microsoft Corporation","24.75.5513","20220522","MsiExec.exe /X{E7821B20-7A10-4528-998F-6F815EC791B7}"
"Microsoft .NET Targeting Pack - 6.0.20 (x64)","Microsoft Corporation","48.83.63169","20230713","MsiExec.exe /X{E7DFD3E4-D565-4255-A412-60869410623C}"
"Windows SDK DirectX x64 Remote","Microsoft Corporation","10.1.19041.685","20230414","MsiExec.exe /I{EBD149F6-9F46-49E4-ED99-25D2A0ECDBBD}"
"Node.js","Node.js Foundation","18.16.0","20230414","MsiExec.exe /I{EFA235B5-C6A1-42E6-9BC9-02A8D56F1CDC}"
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64_arm64)","Microsoft Corporation","24.192.31915","20221216","MsiExec.exe /X{F11CFE11-BE79-4A34-8649-404C8184A4D4}"
"Windows Subsystem for Linux Update","Microsoft Corporation","5.10.102.1","20221201","MsiExec.exe /X{F8474A47-8B5D-4466-ACE3-78EAB3BF21A8}"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","Microsoft Corporation","56.35.63170","20230713","MsiExec.exe /X{FB44E738-DBEC-4232-BFD9-69F7D1C40FB8}"
"Microsoft.NET.Sdk.Android.Manifest-7.0.100 (x64)","Microsoft Corporation","33.0.4","20230708","MsiExec.exe /X{FE768F65-89B5-40E5-9CE5-25D002197AE7}"
"Microsoft ASP.NET Core 3.1.10 Targeting Pack (x64)","Microsoft Corporation","3.1.10.20520","20210322","MsiExec.exe /X{FEA48357-CE2F-3ED0-B2A0-8548BEC6F111}"
